Entry_Date,Exit_Date,Return
2006-12-14,2006-12-15,-1.421947657190675
2006-12-19,2007-01-05,-0.7147580770920632
2007-01-19,2007-01-25,-2.036634015210784
2007-01-26,2007-01-31,0.4807483481504011
2007-02-13,2007-02-14,-0.7508158351494347
2007-02-28,2007-03-13,0.8665604952039387
2007-03-14,2007-03-20,-1.9894925854319587
2007-03-29,2007-04-04,-0.5773745257449387
2007-06-27,2007-06-28,-1.3612346426943966
2007-07-25,2007-07-26,1.2171040567791618
2007-07-27,2007-08-08,0.599976169459413
2007-08-10,2007-08-22,-0.3406339157384585
2007-08-29,2007-08-30,-2.0511998815386026
2007-09-10,2007-09-12,-0.45477151351009876
2007-11-08,2007-11-14,-1.8812703771313155
2007-11-15,2007-11-16,-0.34303283063086065
2007-11-23,2007-11-26,-2.7046191452629973
2008-01-10,2008-01-11,-0.20906118929094616
2008-03-17,2008-03-19,-6.460301163688828
2008-05-22,2008-05-28,-1.995708915534681
2008-06-04,2008-06-05,-1.911176043693076
2008-06-09,2008-06-17,0.07309314056081244
2008-06-18,2008-06-20,0.5932841271461456
2008-06-23,2008-06-26,1.9931386577038024
2008-06-27,2008-07-07,1.2134655820757125
2008-07-10,2008-07-14,-0.874853734995992
2008-07-15,2008-07-16,-0.496278563041733
2008-08-20,2008-08-21,1.2657778305824992
2008-08-26,2008-08-27,0.17526425646452423
2008-09-16,2008-09-22,-3.7159343555632205
2008-09-23,2008-10-14,8.895435989523195
2008-10-15,2008-10-29,1.1250705115319701
2008-11-06,2008-11-25,7.132633545407247
2009-01-13,2009-01-28,-1.7405630115945985
2009-02-02,2009-02-03,-2.430886408956782
2009-02-12,2009-02-13,-2.0592813467232065
2009-02-18,2009-02-19,-0.20592343851796954
2009-03-03,2009-03-04,-0.429843570453234
2009-05-14,2009-05-15,-0.7686316232407918
2009-05-22,2009-05-27,-2.669922707830302
2009-06-16,2009-06-22,0.43860226191828594
2009-06-23,2009-06-26,-2.592740999479024
2009-07-07,2009-07-13,1.2458834666596323
2009-08-18,2009-08-20,-1.4465322488264412
2009-09-02,2009-09-03,-0.9620917033038572
2009-10-28,2009-11-06,-0.2300760866611044
2009-11-20,2009-11-23,-1.1233506459995939
2009-11-30,2009-12-02,-1.750232348045578
2009-12-09,2009-12-10,-1.5652197171838533
2009-12-18,2009-12-21,-1.125836929989668
2010-01-21,2010-02-12,6.045214396096134
2010-04-28,2010-04-30,-1.255031436751673
2010-05-03,2010-05-04,0.2003915247999446
