date,close,high,low,Lowest_Low_200,TR,ATR,Highest_High_100,EMA8,EMA32,signal
1993-01-29,24.330326400474664,24.330326400474664,24.209280000472305,,24.330326400474664,,,24.330326400474664,24.330326400474664,0
1993-02-01,24.33033459065324,24.48596572875977,24.33033459065324,,0.1556393282851047,,,24.330331007450116,24.33033062353549,0
1993-02-02,24.46866669900153,24.55512841878599,24.41678966713086,,0.2247938281327499,,,24.38838899198724,24.37935372349726,0
1993-02-03,24.57243677828269,24.81452975146773,24.555144423055182,,0.3458630524662034,,,24.45289420170329,24.432241114806896,0
1993-02-04,24.883678118387856,24.95284748077393,24.607000668843583,,0.3804107024912397,,,24.586712357915943,24.534155504885437,0
1993-02-05,24.883680343627933,24.93555737005662,24.74534160648476,,0.1902157635718602,,,24.671468286441907,24.601878283030857,0
1993-02-08,24.883680343627933,24.97014205434241,24.84909565934214,,0.1210463950002704,,,24.7284352245198,24.65006343567461,0
1993-02-09,24.797208440312144,24.797208440312144,24.65886976003146,,0.2248105835964722,,,24.746081319955078,24.67272248466248,0
1993-02-10,24.710757569447004,24.762634597234506,24.641588199063666,,0.1556202412484779,,,24.737318907223365,24.67807930821656,0
1993-02-11,24.779924708380985,24.9701404598061,24.779924708380985,,0.2593828903590953,,,24.74762150883621,24.69135774508736,0
1993-02-12,24.831795658360186,24.831795658360186,24.676164627075195,,0.1556310312849902,,,24.767584764036844,24.7084735982274,0
1993-02-16,24.60700294527538,24.60700294527538,24.0190633106026,,0.812732347757585,,,24.730060950987067,24.69682082657677,0
1993-02-17,24.053642588553668,24.088227265172723,23.949888558696497,,0.6571143865788827,,,24.573789101561797,24.62675865265112,1
1993-02-18,24.31303763612729,24.31303763612729,23.69051320163185,,0.622524434495439,,,24.514073970530987,24.59415998259725,1
1993-02-19,24.01906425607427,24.105525970458988,23.98447957032038,,0.3285580658069094,,,24.40147544731797,24.53688226958858,1
1993-02-22,24.174705178163325,24.226582227901872,24.105535778511925,,0.2075179718276025,,,24.350161770700925,24.5021642603094,1
1993-02-23,24.26116725610561,24.278459606252515,24.05365905434277,,0.2248005519097446,,,24.33010544561425,24.47984915593548,1
